Model,MemType,Energy,Throughput,Area
Alexnet,SRAM,0.0000223969999999999,2344.66588511137,185.4321579704
Alexnet,RRAM,0.0000271719999999999,2344.66588511137,162.1928090288
VGG16,SRAM,0.000487968999999999,72.5721003817292,268.78696166928
VGG16,RRAM,0.000590666,72.5721003817292,235.10114330016
resnet18,SRAM,0.0000595778,330.753456373619,51.36147973184
resnet18,RRAM,0.0000719073999999999,330.753456373619,44.92458462848
mobilebert,SRAM,0.0000834752420000001,198.526930178078,95.5495684396793
mobilebert,RRAM,0.000101384829999999,198.526930178078,83.5747859289604
mobilenet_v3,SRAM,0.0000339973549999999,124.945336415318,208.63807793304
mobilenet_v3,RRAM,0.0000334805149999999,124.945336415318,182.49043909488
dpt_large,SRAM,0.0069467941,18.8383518702715,1030.60108841808
dpt_large,RRAM,0.00837830679999999,18.8383518702715,901.44065273376
gpt2_medium,SRAM,0.0026079909,386.757425742574,1443.57320966976
gpt2_medium,RRAM,0.00316048930999999,386.757425742574,1262.65690092672
